Date,AAPL,MSFT,GOOGL,AMZN,DIS,NFLX,TSLA,NVDA,ADBE,ORCL,TTWO,MMM,AXP,AMT,T
2011-04-01,12.305713653564453,25.479999542236328,14.809809684753418,9.006500244140625,42.849998474121094,34.584285736083984,1.7773330211639404,4.550000190734863,34.15999984741211,34.02000045776367,15.050000190734863,93.12999725341797,45.36000061035156,52.33000183105469,23.126888275146484
2011-04-04,12.185357093811035,25.549999237060547,14.706707000732422,9.147000312805176,42.630001068115234,34.959999084472656,1.722000002861023,4.387499809265137,34.369998931884766,34.13999938964844,15.100000381469727,93.63999938964844,45.41999816894531,51.970001220703125,23.24018096923828
2011-04-05,12.103214263916016,25.780000686645508,14.241491317749023,9.26449966430664,42.43000030517578,34.88999938964844,1.7799999713897705,4.394999980926514,34.18000030517578,33.91999816894531,15.300000190734863,93.38999938964844,45.41999816894531,50.7400016784668,23.18731117248535
2011-04-06,12.072856903076172,26.149999618530273,14.368868827819824,9.137999534606934,42.27000045776367,34.281429290771484,1.7660000324249268,4.364999771118164,34.2400016784668,33.58000183105469,15.720000267028809,93.81999969482422,46.279998779296875,50.900001525878906,23.013595581054688
2011-04-07,12.074286460876465,26.200000762939453,14.514514923095703,9.245499610900879,42.040000915527344,33.422855377197266,1.815999984741211,4.525000095367432,34.47999954223633,33.720001220703125,15.65999984741211,93.19000244140625,46.15999984741211,50.77000045776367,23.066465377807617
2011-04-08,11.966428756713867,26.06999969482422,14.468467712402344,9.23550033569336,41.7599983215332,33.551429748535156,1.7660000324249268,4.387499809265137,34.150001525878906,33.540000915527344,15.5600004196167,93.22000122070312,46.279998779296875,50.279998779296875,23.19486427307129
2011-04-11,11.814286231994629,25.979999542236328,14.448698997497559,9.20199966430664,41.88999938964844,32.59428787231445,1.6846669912338257,4.329999923706055,34.380001068115234,33.779998779296875,15.460000038146973,93.80000305175781,46.380001068115234,50.130001068115234,23.157100677490234
2011-04-12,11.871429443359375,25.639999389648438,14.279529571533203,9.02400016784668,41.630001068115234,33.417144775390625,1.6433329582214355,4.34250020980835,34.09000015258789,33.400001525878906,15.100000381469727,92.37000274658203,46.02000045776367,49.630001068115234,23.013595581054688
2011-04-13,12.004643440246582,25.6299991607666,14.42142105102539,9.114500045776367,41.70000076293945,34.10714340209961,1.6619999408721924,4.440000057220459,34.209999084472656,33.70000076293945,15.130000114440918,92.86000061035156,46.099998474121094,50.36000061035156,22.7945613861084
2011-04-14,11.872142791748047,25.420000076293945,14.477227210998535,9.090999603271484,41.02000045776367,33.81856918334961,1.6759999990463257,4.627500057220459,34.33000183105469,33.79999923706055,15.270000457763672,92.94000244140625,45.880001068115234,50.18000030517578,22.877643585205078
2011-04-15,11.694999694824219,25.3700008392334,13.280780792236328,9.000499725341797,41.52000045776367,33.64142990112305,1.7053329944610596,4.677499771118164,34.5099983215332,34.18000030517578,15.5600004196167,92.81999969482422,46.25,50.58000183105469,23.149547576904297
2011-04-18,11.851785659790039,25.079999923706055,13.184184074401855,8.916999816894531,41.20000076293945,33.332855224609375,1.668666958808899,4.522500038146973,33.849998474121094,33.630001068115234,15.300000190734863,91.44999694824219,46.060001373291016,49.560001373291016,22.892749786376953
2011-04-19,12.066429138183594,25.149999618530273,13.051301002502441,8.940999984741211,41.349998474121094,34.50714111328125,1.6773329973220825,4.505000114440918,33.650001525878906,33.66999816894531,15.300000190734863,91.86000061035156,46.63999938964844,49.52000045776367,22.892749786376953
2011-04-20,12.228928565979004,25.760000228881836,13.15640640258789,9.193499565124512,42.040000915527344,34.91857147216797,1.7166670560836792,4.642499923706055,33.689998626708984,34.11000061035156,15.630000114440918,93.76000213623047,47.0,51.04999923706055,22.756797790527344
2011-04-21,12.524999618530273,25.520000457763672,13.140641212463379,9.294500350952148,42.27000045776367,36.031429290771484,1.7826670408248901,4.630000114440918,33.47999954223633,34.75,15.59000015258789,93.91999816894531,47.11000061035156,51.310001373291016,23.172204971313477
2011-04-25,12.607500076293945,25.610000610351562,13.139389038085938,9.270999908447266,41.93000030517578,35.952857971191406,1.7593330144882202,4.702499866485596,33.22999954223633,34.83000183105469,15.460000038146973,94.12000274658203,47.04999923706055,51.04999923706055,23.074018478393555
2011-04-26,12.515000343322754,26.190000534057617,13.333833694458008,9.114999771118164,42.33000183105469,32.7014274597168,1.7953330278396606,4.824999809265137,33.130001068115234,34.970001220703125,15.539999961853027,95.94000244140625,47.099998474121094,51.790000915527344,23.368579864501953
2011-04-27,12.505356788635254,26.3799991607666,13.457456588745117,9.831500053405762,42.58000183105469,33.70857238769531,1.8053330183029175,4.824999809265137,33.650001525878906,35.25,16.170000076293945,96.47000122070312,47.619998931884766,52.869998931884766,23.731117248535156
2011-04-28,12.383929252624512,26.709999084472656,13.462713241577148,9.753499984741211,43.02000045776367,33.48143005371094,1.843999981880188,4.877500057220459,34.02000045776367,35.290000915527344,16.290000915527344,97.2300033569336,48.52000045776367,52.380001068115234,23.6933536529541
2011-04-29,12.504643440246582,25.920000076293945,13.61611557006836,9.790499687194824,43.099998474121094,33.23857116699219,1.840000033378601,5.0,33.54999923706055,35.959999084472656,16.18000030517578,97.20999908447266,49.08000183105469,52.310001373291016,23.504531860351562
2011-05-02,12.367142677307129,25.65999984741211,13.477477073669434,10.059499740600586,43.27000045776367,33.88428497314453,1.8300000429153442,4.932499885559082,33.54999923706055,36.369998931884766,16.100000381469727,96.91999816894531,49.650001525878906,51.540000915527344,23.572507858276367
