Date,Accenture,Adobe,Amazon,Apple,Cisco,Google,Imax,MCDonalds,Meta,Microsoft,Netflix,Nvidia,Oracle,Take Two,Tesla
4/1/2013,75.849998474121,43.380001068115,13.080499649048,15.318214416504,20.829999923706,19.954954147339,26.0,99.050003051758,25.530000686646,28.610000610351,26.061428070068,3.102499961853,32.409999847412,15.890000343323,2.9286670684814
4/2/2013,76.669998168945,43.849998474121,13.166000366211,15.349642753601,21.219999313354,20.25009727478,26.379999160767,100.26000213623,25.420000076294,28.799999237061,25.241428375244,3.0699999332428,32.740001678467,15.60000038147,2.9560000896454
4/3/2013,76.599998474121,43.700000762939,12.951499938965,15.428214073181,21.200000762939,20.079736709595,26.0,99.25,26.25,28.559999465942,24.248571395874,3.0325000286102,32.400001525879,15.359999656677,2.7400000095367
4/4/2013,76.610000610352,44.209999084473,12.954000473022,15.275713920593,21.040000915527,19.80252456665,26.329999923706,100.62999725342,27.069999694824,28.60000038147,23.812856674194,3.0625,32.369998931885,15.439999580383,2.8006670475006
4/5/2013,76.25,43.380001068115,12.774000167847,15.114286422729,20.610000610351,19.503147125244,26.379999160767,101.41999816894,27.389999389648,28.700000762939,23.522857666016,3.1150000095367,32.029998779297,15.420000076294,2.7579998970032
4/8/2013,76.550003051758,43.790000915527,12.947500228882,15.221785545349,20.569999694824,19.29891204834,26.950000762939,101.5,26.85000038147,28.590000152588,23.294286727905,3.1075000762939,32.360000610351,15.539999961853,2.7886669635773
4/9/2013,76.209999084473,44.169998168945,13.057000160217,15.249285697937,20.969999313354,19.36865234375,27.309999465942,101.05999755859,26.590000152588,29.610000610351,24.194286346436,3.1575000286102,33.040000915527,15.60000038147,2.7000000476837
4/10/2013,77.01000213623,44.700000762939,13.238499641418,15.560357093811,21.469999313354,19.680732727051,27.829999923706,101.48999786377,27.569999694824,30.280000686646,23.724285125732,3.2074999809265,33.729999542236,15.869999885559,2.7906670570373
4/11/2013,77.779998779297,45.209999084473,13.492500305176,15.511786460876,21.690000534058,19.685962677002,27.659999847412,101.98999786377,28.020000457764,28.940000534058,24.715713500976,3.1925001144409,33.619998931885,15.699999809265,2.9059998989105
4/12/2013,77.230003356934,45.029998779297,13.643500328064,15.35000038147,21.540000915527,19.677494049072,27.569999694824,103.58999633789,27.39999961853,28.790000915527,24.74285697937,3.272500038147,33.459999084473,15.779999732971,2.9166669845581
4/15/2013,75.23999786377,44.599998474121,13.385999679565,14.994643211365,21.049999237061,19.475252151489,27.170000076294,102.15000152588,26.520000457764,28.690000534058,25.214286804199,3.204999923706,32.79999923706,15.10000038147,2.8866670131683
4/16/2013,77.48999786377,45.279998779297,13.61699962616,15.222857475281,21.159999847412,19.760183334351,27.020000457764,103.04000091553,26.920000076294,28.969999313354,25.121429443359,3.2400000095367,33.419998168945,14.939999580383,3.0393331050873
4/17/2013,76.699996948242,44.900001525879,13.369999885559,14.385713577271,20.629999160767,19.490943908691,27.340000152588,102.54000091553,26.629999160767,28.829999923706,24.194286346436,3.1974999904633,32.490001678467,14.449999809265,3.0299999713898
4/18/2013,75.569999694824,44.459999084473,12.970999717712,14.001786231995,20.579999923706,19.076248168945,27.489999771118,101.91000366211,25.690000534058,28.790000915527,23.402856826782,3.1349999904633,32.119998931885,14.319999694824,3.1313331127167
4/19/2013,74.73999786377,44.740001678467,13.015999794006,13.947500228882,20.459999084473,19.922077178955,27.329999923706,99.919998168945,25.729999542236,29.770000457764,23.338571548462,3.142499923706,32.369998931885,14.859999656677,3.1886670589447
4/22/2013,74.940002441406,44.529998779297,13.177499771118,14.238213539123,20.590000152588,19.92805480957,27.379999160767,99.319999694824,25.969999313354,30.829999923706,24.909999847412,3.147500038147,32.520000457764,15.060000419617,3.345999956131
4/23/2013,76.300003051758,44.869998931885,13.444999694824,14.504643440247,20.909999847412,20.122077941894,27.729999542236,99.76000213623,25.979999542236,30.60000038147,30.998571395874,3.2300000190735,32.459999084473,15.319999694824,3.4006669521332
4/24/2013,77.809997558594,44.669998168945,13.4390001297,14.480713844299,20.389999389648,20.26030921936,26.940000534058,101.01999664307,26.110000610351,31.760000228882,30.959999084473,3.3399999141693,32.509998321533,15.859999656677,3.3619999885559
4/25/2013,79.330001831055,45.04999923706,13.734999656677,14.585000038147,20.639999389648,20.151964187622,26.219999313354,100.94000244141,26.139999389648,31.940000534058,30.535713195801,3.3675000667572,32.270000457764,15.510000228882,3.4666669368744
4/26/2013,78.660003662109,44.909999847412,12.740500450134,14.89999961853,20.670000076294,19.960681915283,25.5,100.88999938965,26.85000038147,31.790000915527,30.792856216431,3.352499961853,32.360000610351,15.60000038147,3.4133329391479
4/29/2013,81.129997253418,45.060001373291,12.487000465393,15.361429214477,20.979999542236,20.400035858154,25.530000686646,102.18000030517,26.979999542236,32.610000610351,30.715713500976,3.392499923706,32.240001678467,15.460000038147,3.6626670360565
4/30/2013,81.440002441406,45.080001831055,12.690500259399,15.813570976257,20.920000076294,20.537271499634,25.530000686646,102.13999938965,27.770000457764,33.099998474121,30.867143630981,3.4425001144409,32.779998779297,15.260000228882,3.5993330478668
5/1/2013,79.769996643066,44.709999084473,12.411499977112,15.688928604126,20.379999160767,20.434158325195,26.090000152588,101.37999725342,27.430000305176,32.720001220703,30.415714263916,3.4124999046326,33.159999847412,15.109999656677,3.5520000457764
5/2/2013,79.48999786377,45.689998626709,12.627499580383,15.911429405212,20.729999542236,20.662801742554,27.479999542236,102.05999755859,28.969999313354,33.159999847412,30.641429901123,3.4525001049042,33.689998626709,15.300000190735,3.60733294487
